"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Kapitel 2 zeigt dir, wie KDP funktioniert","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-06-011-kapitel-2-zeigt-wie.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Leicht verstaendlich, anfaengerfreundlich und Schritt fuer Schritt: So wird aus deiner Buchidee ein echtes Projekt fuer Amazon KDP.","","2026-08-06T07:00:00","Kapitel 2 Kurs, KDP Anleitung Deutsch, Amazon KDP lernen, eigenes Buch erstellen, Anfaenger Kurs, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Gemeinsam lernen und mit KDP wachsen","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-06-012-gemeinsam-lernen-wachsen.jpg","Amazon KdP| Selfpublishing |Digitales Business","","In der Kapitel 2 Community findest du Austausch, Hilfe und Motivation, damit du bei deinem Buchprojekt dranbleibst und nicht alleine starten musst.","","2026-08-06T17:00:00","Telegram Community, KDP Community, Selfpublishing Hilfe, Buchprojekt Motivation, Online Business Community, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Deine KDP-Reise startet hier","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-07-013-flexible-kdp-reise.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Starte flexibel in dein eigenes Buchbusiness. Kapitel 2 macht Amazon KDP greifbar, bezahlbar und Schritt fuer Schritt umsetzbar.","","2026-08-07T03:00:00","KDP Kurs bezahlbar, Ratenzahlung Kurs, Amazon KDP Einstieg, Buchbusiness fuer Einsteiger, kreatives Online Business, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Der smarte Helfer fuer dein Buchprojekt","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-07-014-smarte-helfer-bots.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Nischensuche, Formatierung und Struktur muessen dich nicht ausbremsen. Kapitel 2 zeigt dir Tools und Bots, die dich beim KDP-Aufbau unterstuetzen.","","2026-08-07T07:00:00","KDP Nischensuche, KDP Formatierung, KI Tools, Buchprojekt organisieren, Amazon KDP Hilfe, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Keine Upload-Fehler mehr: Vorher pruefen","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-07-015-analyse-bot-upload.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Bevor dein Buch online geht, sollte alles sitzen. In Kapitel 2 lernst du, wie Analyse-Bots dein Buch vor dem Upload pruefen koennen.","","2026-08-07T17:00:00","KDP Upload Fehler, Cover Check, KDP Cover pruefen, Buchdatei pruefen, Amazon KDP Tipps, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Kreativ durchstarten mit Amazon KDP","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-08-016-kreativ-durchstarten.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Gestalte eigene Buecher, Malbuecher oder Kinderbuchideen und lerne im Kurs, wie daraus Schritt fuer Schritt ein KDP-Projekt wird.","","2026-08-08T03:00:00","Kreativ durchstarten, Malbuch erstellen, Kinderbuch Idee, Amazon KDP, Mama Business, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Eine echte KDP-Community fuer deinen Start","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-08-017-echte-kdp-community.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Austausch, Fragen, Motivation und Unterstuetzung: Kapitel 2 ist nicht nur Kurs, sondern auch Community fuer deinen kreativen KDP-Weg.","","2026-08-08T07:00:00","KDP Community Deutsch, Telegram Gruppe, Amazon KDP Hilfe, Buchbusiness Community, kreative Frauen, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"KDP-Marketing von A bis Z lernen","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-08-018-marketing-a-bis-z.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Ein gutes Buch braucht Sichtbarkeit. Lerne, wie du deine Buchideen mit klarem Marketing, Keywords und Strategie besser auffindbar machst.","","2026-08-08T17:00:00","KDP Marketing, Buchmarketing, Keywords fuer KDP, Pinterest fuer Buecher, Buch sichtbar machen, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Buecher selber erstellen leicht gemacht","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-09-019-buecher-selber-erstellen.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Erfolgreich mit KDP starten, auch ohne Vorkenntnisse: Kapitel 2 fuehrt dich durch Konzept, Design, Formatierung und Upload.","","2026-08-09T03:00:00","Buecher selber erstellen, KDP Schnellstart, Buchkonzept, Cover Design, Amazon KDP Upload, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Buecher erstellen mit smarten Helfern","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-09-020-bots-leicht-gemacht.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Schlaue Bots koennen dich bei Ideen, Struktur und Buchaufbau unterstuetzen. So wird dein KDP-Start einfacher und klarer.","","2026-08-09T07:00:00","Buch erstellen mit KI, KDP Bots, KI Buchideen, Selfpublishing Tools, Buchaufbau, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Kapitel 2 empfehlen und Provision erhalten","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-09-021-empfehlen-provision.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Wenn dir Kapitel 2 gefaellt, kannst du es weiterempfehlen und attraktive Provisionen erhalten. Teile, was anderen beim KDP-Start wirklich hilft.","","2026-08-09T17:00:00","Affiliate Marketing, Digistore24, Provision verdienen, KDP Kurs empfehlen, Online Einkommen, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
